time,sm_c4grass,rfe,rfe_filled,temperature_2m_mean (°C),relative_humidity_2m_mean (%)
17/12/2016,11.42,0,0,30.1,40
18/12/2016,11.41,0,0,30.3,37
19/12/2016,11.4,0,0,29.6,36
20/12/2016,11.39,0,0,29.7,36
21/12/2016,11.38,0,0,30,43
22/12/2016,11.37,0,0,29.7,44
23/12/2016,11.36,0,0,29.4,42
24/12/2016,11.35,0,0,29.5,42
25/12/2016,11.35,0,0,29.6,44
26/12/2016,11.34,0,0,29.2,45
27/12/2016,11.33,0,0,29.2,37
28/12/2016,11.32,0,0,29.9,35
29/12/2016,11.31,0,0,30,40
30/12/2016,11.3,0,0,30.5,42
31/12/2016,11.29,0,0,30.2,43
01/01/2017,11.28,0,0,29.8,38
02/01/2017,11.28,0,0,29.6,34
03/01/2017,11.27,0,0,30.1,28
04/01/2017,11.26,0,0,30.2,25
05/01/2017,11.25,0,0,29.1,33
06/01/2017,11.24,0,0,29,31
07/01/2017,11.23,0,0,28.8,30
08/01/2017,11.22,0,0,28.7,20
09/01/2017,11.21,0,0,29.3,22
10/01/2017,11.21,0,0,29,26
11/01/2017,11.2,0,0,28.7,28
12/01/2017,11.19,0,0,28.7,22
13/01/2017,11.18,0,0,28.6,29
14/01/2017,11.17,0,0,28.8,32
15/01/2017,11.16,0,0,29.5,34
16/01/2017,11.15,0,0,29.5,31
17/01/2017,11.15,0,0,28.6,30
18/01/2017,11.14,0,0,29.2,32
19/01/2017,11.13,0,0,29.5,32
20/01/2017,11.12,0,0,29.9,32
21/01/2017,11.11,0,0,30,33
22/01/2017,11.1,0,0,29.7,33
23/01/2017,11.09,0,0,29.4,35
24/01/2017,11.09,0,0,29.7,33
25/01/2017,11.08,0,0,30,34
26/01/2017,11.07,0,0,30.5,31
27/01/2017,11.06,0,0,30.5,29
28/01/2017,11.05,0,0,30.9,32
29/01/2017,11.05,0,0,30.8,38
30/01/2017,11.04,0,0,29.4,47
31/01/2017,11.03,0,0,28.7,53
01/02/2017,11.03,0,0,29.5,49
02/02/2017,11.02,0,0,30.2,40
03/02/2017,11.01,0,0,30.9,30
04/02/2017,11,0,0,31.1,33
05/02/2017,11,0,0,31,38
06/02/2017,10.99,0,0,30.7,37
07/02/2017,10.98,0,0,30.7,34
08/02/2017,10.98,0,0,31,34
09/02/2017,10.97,0,0,31.2,30
10/02/2017,10.96,0,0,30.7,28
11/02/2017,10.96,0,0,30.8,34
12/02/2017,10.95,0,0,31.1,36
13/02/2017,10.94,6.9,6.9,31.2,39
14/02/2017,10.92,0,0,30.6,41
15/02/2017,10.9,0,0,30.6,39
16/02/2017,10.89,0,0,30.5,43
17/02/2017,10.87,0,0,29.9,48
18/02/2017,10.86,0,0,28.1,56
19/02/2017,10.85,0,0,28.8,54
20/02/2017,10.83,0,0,29.5,46
21/02/2017,10.82,0.3,0.3,30.4,34
22/02/2017,10.8,4.7,4.7,30.5,27
23/02/2017,10.78,0,0,30.2,39
24/02/2017,10.77,0,0,30.9,40
25/02/2017,10.75,0,0,30,46
26/02/2017,10.74,0,0,29.8,46
27/02/2017,10.73,0,0,30.1,45
28/02/2017,10.72,0,0,29,50
01/03/2017,10.7,0,0,30,40
02/03/2017,10.69,0,0,30.7,33
03/03/2017,10.68,0,0,31.9,33
04/03/2017,10.66,0,0,31.9,31
05/03/2017,10.65,0,0,32,33
06/03/2017,10.64,0,0,32.5,31
07/03/2017,10.63,0,0,32.5,30
08/03/2017,10.62,0,0,32.8,28
09/03/2017,10.61,0,0,33.1,24
10/03/2017,10.59,6.7,6.7,32.5,31
11/03/2017,10.58,0,0,32.8,28
12/03/2017,10.56,0,0,32,30
13/03/2017,10.55,0,0,32.2,27
14/03/2017,10.54,0,0,32.7,31
15/03/2017,10.53,0,0,32.2,36
16/03/2017,10.52,2.3,2.3,32.1,34
17/03/2017,11.75,9.5,9.5,31.5,37
18/03/2017,10.57,0,0,32.1,35
19/03/2017,10.46,0,0,32.1,37
20/03/2017,10.45,0,0,32,38
21/03/2017,10.44,0,0,31.9,38
22/03/2017,10.43,0,0,32.4,34
23/03/2017,10.42,0,0,31.7,36
24/03/2017,10.41,0,0,32.4,34
25/03/2017,10.4,0,0,30.8,43
26/03/2017,10.39,0,0,29.4,53
27/03/2017,10.38,0,0,30.4,51
28/03/2017,10.36,4.9,4.9,30.4,51
29/03/2017,10.35,0,0,30.9,44
30/03/2017,10.34,0,0,31.3,40
31/03/2017,10.33,0,0,31.1,37
01/04/2017,10.32,0,0,31.5,32
02/04/2017,10.31,0,0,32,31
03/04/2017,10.29,0,0,32.4,31
04/04/2017,10.28,0,0,32.2,34
05/04/2017,10.27,0,0,31.8,39
06/04/2017,10.26,0,0,30.8,46
07/04/2017,10.25,0,0,29.7,53
08/04/2017,10.24,0,0,29.8,51
09/04/2017,10.22,0,0,29.9,49
10/04/2017,10.21,0,0,29.9,47
11/04/2017,10.21,0,0,31,40
12/04/2017,10.2,0,0,30.8,42
13/04/2017,10.19,0,0,31.2,38
14/04/2017,10.18,0,0,31.9,33
15/04/2017,10.17,0,0,32.2,34
16/04/2017,10.17,0,0,31,44
17/04/2017,10.16,7.3,7.3,29,58
18/04/2017,10.15,0.4,0.4,27.5,69
19/04/2017,10.13,0,0,29.1,57
20/04/2017,10.12,0,0,30.4,47
21/04/2017,10.11,0,0,30.8,45
22/04/2017,10.1,0,0,31,43
23/04/2017,10.09,0,0,30.8,44
24/04/2017,10.08,0,0,31.3,43
25/04/2017,10.07,0,0,30.8,45
26/04/2017,10.05,0,0,30,48
27/04/2017,10.04,0,0,31.2,41
28/04/2017,10.03,0,0,30.9,43
29/04/2017,10.02,5.7,5.7,31.1,42
30/04/2017,10.01,4.2,4.2,26.2,70
01/05/2017,9.99,0,0,25,81
02/05/2017,9.97,0,0,26,76
03/05/2017,9.96,3.5,3.5,26,75
04/05/2017,9.95,0,0,26.4,75
05/05/2017,9.94,0,0,27.3,67
06/05/2017,9.93,7.4,7.4,28.6,58
07/05/2017,9.91,0.4,0.4,29.2,54
08/05/2017,9.9,0,0,29.3,55
09/05/2017,9.89,0,0,29.7,52
10/05/2017,9.87,0,0,29.8,50
11/05/2017,9.86,0,0,29.8,49
12/05/2017,9.85,0,0,30.9,46
13/05/2017,9.84,0,0,30.5,45
14/05/2017,9.83,0,0,30.2,44
15/05/2017,9.82,0,0,30.1,44
16/05/2017,9.81,0,0,30.4,45
17/05/2017,9.8,0,0,30.6,45
18/05/2017,9.79,0,0,30.3,45
19/05/2017,9.78,0,0,29.5,48
20/05/2017,9.77,0,0,30.1,45
21/05/2017,9.76,0,0,30.2,44
22/05/2017,9.75,0,0,30.1,43
23/05/2017,9.75,0,0,29.9,45
24/05/2017,9.74,0,0,29.7,45
25/05/2017,9.73,0,0,30.2,42
26/05/2017,9.72,0,0,30.1,43
27/05/2017,9.72,0,0,31,38
28/05/2017,9.87,15.2,15.2,27.9,60
29/05/2017,12.33,6.2,6.2,26,79
30/05/2017,16.14,13.1,13.1,24.5,84
31/05/2017,17.07,0,0,25.7,77
01/06/2017,13.98,0,0,26.4,72
02/06/2017,11.63,0,0,27.9,65
03/06/2017,11.07,0,0,29.2,52
04/06/2017,11.04,0,0,29.6,48
05/06/2017,11.01,0,0,29.8,43
06/06/2017,10.99,0,0,29.9,42
07/06/2017,10.97,0,0,29.8,42
08/06/2017,10.95,0,0,29.6,43
09/06/2017,10.93,0,0,30.2,40
10/06/2017,10.91,0,0,29.7,42
11/06/2017,10.9,0,0,29.5,39
12/06/2017,10.88,0,0,29.7,40
13/06/2017,10.86,0,0,29.6,45
14/06/2017,10.84,0,0,28.4,49
15/06/2017,10.82,0,0,28.9,47
16/06/2017,10.8,0,0,29.7,43
17/06/2017,10.78,0,0,29,44
18/06/2017,10.77,0,0,28.8,39
19/06/2017,10.75,0,0,28.8,41
20/06/2017,10.73,0,0,28.5,44
21/06/2017,10.72,0,0,28.4,44
22/06/2017,10.7,0,0,29.2,40
23/06/2017,10.68,0,0,29.1,41
24/06/2017,10.67,0,0,29.2,39
25/06/2017,10.65,0,0,28.6,45
26/06/2017,10.64,0,0,29,42
27/06/2017,10.62,0,0,28.4,44
28/06/2017,10.61,0,0,28.3,43
29/06/2017,10.6,0,0,28.4,42
30/06/2017,10.59,0,0,28.9,43
01/07/2017,10.57,0,0,28.8,41
02/07/2017,10.56,0,0,29.3,40
03/07/2017,10.63,9.1,9.1,27,63
04/07/2017,10.65,0,0,25.9,71
05/07/2017,10.49,0,0,28.2,57
06/07/2017,10.46,0,0,29.2,44
07/07/2017,10.44,0,0,29.5,40
08/07/2017,10.42,0,0,29.2,41
09/07/2017,10.4,0,0,28.8,39
10/07/2017,10.39,0,0,27.9,47
11/07/2017,10.37,0,0,28.3,44
12/07/2017,12.45,13.8,13.8,27.7,54
13/07/2017,12.09,0,0,24,79
14/07/2017,10.67,0,0,25.3,74
15/07/2017,10.33,0,0,26.5,64
16/07/2017,10.3,0,0,27.6,53
17/07/2017,10.27,0,0,29.1,47
18/07/2017,10.25,0,0,29.2,46
19/07/2017,10.24,0,0,29.2,45
20/07/2017,10.22,0,0,28.9,46
21/07/2017,10.21,0,0,28.3,51
22/07/2017,10.2,5.1,5.1,29.7,45
23/07/2017,10.18,0,0,29.2,46
24/07/2017,10.16,0,0,28.1,53
25/07/2017,10.15,0,0,27.6,56
26/07/2017,10.13,3.7,3.7,25.8,68
27/07/2017,10.11,0,0,24.4,83
28/07/2017,10.09,0,0,25.1,76
29/07/2017,10.07,0,0,25.5,69
30/07/2017,10.06,0,0,26.4,61
31/07/2017,10.04,0,0,27.8,52
01/08/2017,10.03,0,0,28.3,50
02/08/2017,10.02,0,0,28.5,44
03/08/2017,10.01,0,0,28.3,44
04/08/2017,10,0,0,28.2,45
05/08/2017,9.99,0,0,28.3,46
06/08/2017,9.97,0,0,28.9,43
07/08/2017,9.96,0,0,28.5,47
08/08/2017,9.95,0,0,27.5,53
09/08/2017,9.94,0,0,26.5,62
10/08/2017,9.93,0,0,27.8,52
11/08/2017,9.92,0,0,28.5,48
12/08/2017,9.9,0,0,28.8,47
13/08/2017,9.89,0,0,29.4,43
14/08/2017,9.88,0,0,29.3,46
15/08/2017,9.87,0,0,28.9,45
16/08/2017,9.85,0,0,28.8,42
17/08/2017,9.84,0,0,29.3,39
18/08/2017,9.83,0,0,29.8,38
19/08/2017,9.82,0,0,30.3,36
20/08/2017,9.81,0,0,29.7,40
21/08/2017,9.8,0,0,29.3,42
22/08/2017,9.79,0,0,29.2,43
23/08/2017,9.78,0,0,29.5,45
24/08/2017,9.77,0,0,30.2,43
25/08/2017,9.76,0,0,30.6,36
26/08/2017,9.75,0,0,30.3,34
27/08/2017,9.74,0,0,30.3,34
28/08/2017,9.73,0,0,29.6,41
29/08/2017,9.73,0.1,0.1,28.6,49
30/08/2017,9.72,0.3,0.3,25.5,68
31/08/2017,9.71,1.3,1.3,26.4,70
01/09/2017,9.7,2,2,24.9,80
02/09/2017,9.69,0,0,25.2,80
03/09/2017,9.68,0,0,25.6,76
04/09/2017,9.67,0,0,24.5,77
05/09/2017,9.66,0,0,25.3,74
06/09/2017,9.65,0,0,26.7,65
07/09/2017,9.64,0,0,28.5,49
08/09/2017,9.63,0,0,29.3,46
09/09/2017,9.62,0,0,29.8,43
10/09/2017,9.61,0,0,28.9,43
11/09/2017,9.6,0,0,29.4,45
12/09/2017,9.58,0,0,29.6,43
13/09/2017,9.57,0,0,30.1,40
14/09/2017,9.56,0,0,29.2,43
15/09/2017,9.55,0,0,29.1,46
16/09/2017,9.54,0,0,30,46
