timestamp,temp,hum,rain,prev_sm
317700000,30.2,52.1,0,75.63
318600000,29.4,53.9,0,75.12
319500000,31.2,55.2,0,74.59
320400000,30.9,50.9,0,74.05
321300000,31.6,50.2,0,73.49
322200000,32,56.4,0,72.91
323100000,32.2,60.5,0.1,79.6
324000000,32.6,48.2,0.1,84.42
324900000,32.6,45.6,0.1,88.03
325800000,33.2,47.2,0.1,90.14
326700000,35.4,47.4,0,89.44
327600000,33.7,45.4,0,88.73
328500000,32.7,45.2,0,88.06
329400000,32.7,47.6,0,87.36
330300000,32.3,48.3,0,86.74
331200000,30.2,55,0,86.16
332100000,29.5,55.5,0,85.68
333000000,29,58.7,0,85.19
333900000,28.1,59.6,0,84.74
334800000,27.4,60.7,0,84.24
335700000,27.1,59.8,0,83.78
336600000,26.9,58.2,0,83.42
337500000,26.8,65.5,0,83.03
338400000,26.6,58.4,0,82.63
339300000,26.1,64.5,0,82.2
340200000,25.1,67,0,81.82
341100000,24.5,72.1,0,81.51
342000000,24,73.7,0,81.18
342900000,23.4,73.3,0,80.91
343800000,22.9,76.3,0,80.54
344700000,22.4,78.3,0,80.32
345600000,22.1,82.4,0,80.07
346500000,21.6,86.7,0,79.87
347400000,21.1,87.5,0,79.63
348300000,20.7,88.6,0,79.47
349200000,20.4,89.9,0,79.24
350100000,20.2,90.5,0,79.08
351000000,20,91.5,0,78.91
351900000,19.8,92,0,78.71
352800000,19.7,92.3,0,78.5
353700000,19.5,93,0,78.27
354600000,19.4,93.4,0,78.13
355500000,19.2,94.3,0,77.95
356400000,19,94.4,0,77.72
357300000,18.9,95,0,77.59
358200000,18.8,95.7,0,77.36
359100000,18.6,95.6,0,77.22
360000000,18.5,96.3,0,77.01
360900000,18.4,96.8,0,76.8
361800000,18.2,97.1,0,76.62
362700000,18.2,97.9,0,76.46
363600000,18.1,98.3,0,76.31
364500000,18.1,98.4,0,76.12
365400000,18,98.4,0,75.96
366300000,17.9,99.1,0,75.83
367200000,17.9,100,0,75.66
368100000,17.8,99.8,0,75.4
369000000,17.9,100,0,75.24
369900000,18.1,100,0.1,80.74
370800000,18.2,100,0.1,84.86
371700000,18.1,100,0.1,88.18
372600000,18.1,100,0.1,90.6
373500000,18.1,100,0.1,92.24
374400000,18.2,100,0.1,93.68
375300000,18.2,100,0.1,94.74
376200000,18.3,100,0.1,96.01
377100000,18.4,100,0.1,96.84
378000000,18.5,100,0.1,97.44
378900000,18.4,100,0.1,97.94
379800000,18.4,100,0.1,97.85
380700000,18.3,100,0,97.64
381600000,18.3,100,0,97.39
382500000,18.2,100,0,97.19
383400000,18.1,100,0,97
384300000,18.1,100,0.1,97.73
385200000,18,100,0.1,97.85
386100000,17.9,100,0.1,98.9
387000000,18,100,0.1,99.19
387900000,18,100,0.2,99.63
388800000,18.1,100,0.2,97.76
389700000,18.1,99.2,0.2,99.43
390600000,18.3,97.9,0.2,99.62
391500000,18.4,97.6,0.1,98.69
392400000,19.3,96.3,0.1,98.42
393300000,19.8,93.8,0.1,98.27
394200000,20.2,92.9,0.1,97.51
395100000,20.8,91.8,0,97.29
396000000,21.2,87.5,0,97.08
396900000,21.3,85.2,0,96.84
397800000,21.6,85.6,0,96.55
398700000,21.3,84.1,0.1,97.15
399600000,21,88.5,0.1,97.7
